Titre;Description;Latitude;Longitude;Zoom;Mobilite
Porte Cailhau;Ancienne porte défensive de Bordeaux érigée à la fin du XVe siècle.;44.8384;-0.5684;16;walking
Grosse Cloche;Beffroi de l'ancien hôtel de ville et cloche historique.;44.8356;-0.5714;16;walking
Place de la Victoire;Grande place animée marquée par sa porte d'Aquitaine et sa colonne.;44.8309;-0.5727;16;walking
Cathédrale Saint-André;Édifice gothique remarquable et sa tour Pey-Berland.;44.8378;-0.5776;16;walking
Palais Rohan;Hôtel de ville de Bordeaux et ancien palais archiépiscopal.;44.8375;-0.5794;16;walking
Porte Dijeaux;Porte monumentale d'accès ouest de la ville historique.;44.8404;-0.5791;16;walking
Palais Gallien;Vestiges de l'amphithéâtre romain antique de Burdigala.;44.8483;-0.5828;16;cycling
Pique-nique au Jardin public;Havre de verdure à l'anglaise propice à une pause détente.;44.8488;-0.5781;16;walking
Monument aux Girondins;Imposante colonne et fontaines sur la place des Quinconces.;44.8444;-0.5739;16;walking
Maison Gobineau;Élégant immeuble en proue à l'entrée des allées de Tourny.;44.8436;-0.5746;16;walking
Grand Théâtre;Chef-d'œuvre néoclassique de Victor Louis inauguré en 1780.;44.8428;-0.5741;16;walking
Église Notre-Dame;Remarquable église de style baroque bordelais.;44.8427;-0.5761;16;walking
Place du Parlement;Place à l'architecture classique homogène du XVIIIe siècle.;44.8405;-0.5724;16;walking
Place de la Bourse / Miroir d'Eau;Symbole du siècle des Lumières et installation féerique face à la Garonne.;44.8415;-0.5694;16;walking
